Country,Year,EV sales,EV stock,charging_stations_added,total_charging_stations,GDP_per_capita,Population,policy_count,news_sentiment,consumer_review_sentiment,stations_per_capita,mode_Buses,mode_Cars,mode_EV,mode_Trucks,mode_Vans,pt_BEV,pt_EV,pt_FCEV,pt_PHEV,pt_Publicly available fast,pt_Publicly available slow,Total_Sales,EV_Share_Pct,EV_Sales,Policy_Score,Gas_Price_USD,GDP_per_capita_Robust,Population_Robust,Years_Since_Threshold
Australia,2011,49.0,49.0,1.0,1.0,56739.0265346593,23815995.0,0.0,0.0,0.0,1.595566341024173e-06,False,True,False,False,False,True,False,False,False,False,False,2213333.0,0.0061,0.0,0.0,0.0,0.0,0.0,0.0
Australia,2011,0.0,150000.0,1.0,1.0,64835.9199754535,26652777.0,0.0,0.0,0.0,3.920792193623952e-05,False,True,False,False,False,False,True,False,False,False,False,2213333.0,0.0061,0.0,0.0,0.0,0.0,0.0,0.0
Australia,2012,170.0,220.0,1.0,2.0,56739.0265346593,23815995.0,0.0,0.0,0.0,1.595566341024173e-06,False,True,False,False,False,True,False,False,False,False,False,862069.0,0.029,250.0,0.0,0.0,0.0,0.0,-10.0
Australia,2012,250.0,150000.0,1.0,2.0,64835.9199754535,26652777.0,0.0,0.0,0.0,3.920792193623952e-05,False,True,False,False,False,False,True,False,False,False,False,862069.0,0.029,250.0,0.0,0.0,0.0,0.0,-10.0
Australia,2012,80.0,80.0,1.0,2.0,64835.9199754535,26652777.0,0.0,0.0,0.0,3.920792193623952e-05,False,True,False,False,False,False,False,False,True,False,False,862069.0,0.029,250.0,0.0,0.0,0.0,0.0,-10.0
Australia,2013,190.0,410.0,26.0,28.0,56739.0265346593,23815995.0,0.0,0.0,0.0,1.595566341024173e-06,False,True,False,False,False,True,False,False,False,False,False,878788.0,0.033,290.0,0.0,0.0,0.0,0.0,-9.0
Australia,2013,290.0,150000.0,26.0,28.0,64835.9199754535,26652777.0,0.0,0.0,0.0,3.920792193623952e-05,False,True,False,False,False,False,True,False,False,False,False,878788.0,0.033,290.0,0.0,0.0,0.0,0.0,-9.0
Australia,2013,100.0,180.0,26.0,28.0,64835.9199754535,26652777.0,0.0,0.0,0.0,3.920792193623952e-05,False,True,False,False,False,False,False,False,True,False,False,878788.0,0.033,290.0,0.0,0.0,0.0,0.0,-9.0
Australia,2014,370.0,780.0,2.0,30.0,56739.0265346593,23815995.0,0.0,0.0,0.0,1.595566341024173e-06,False,True,False,False,False,True,False,False,False,False,False,880000.0,0.15,1320.0,0.0,0.0,0.0,0.0,-8.0
Australia,2014,1320.0,150000.0,2.0,30.0,64835.9199754535,26652777.0,0.0,0.0,0.0,3.920792193623952e-05,False,True,False,False,False,False,True,False,False,False,False,880000.0,0.15,1320.0,0.0,0.0,0.0,0.0,-8.0
Australia,2014,950.0,1100.0,2.0,30.0,64835.9199754535,26652777.0,0.0,0.0,0.0,3.920792193623952e-05,False,True,False,False,False,False,False,False,True,False,False,880000.0,0.15,1320.0,0.0,0.0,0.0,0.0,-8.0
Australia,2015,760.0,1500.0,8.0,38.0,56739.0265346593,23815995.0,0.0,0.0,0.0,1.595566341024173e-06,False,True,False,False,False,True,False,False,False,False,False,926316.0,0.19,1760.0,0.0,0.8226846539720175,56739.0265346593,23815995.0,-7.0
Australia,2015,1760.0,150000.0,8.0,38.0,56739.0265346593,23815995.0,0.0,0.0,0.0,1.595566341024173e-06,False,True,False,False,False,False,True,False,False,False,False,926316.0,0.19,1760.0,0.0,0.8226846539720175,56739.0265346593,23815995.0,-7.0
Australia,2015,1000.0,2100.0,8.0,38.0,56739.0265346593,23815995.0,0.0,0.0,0.0,1.595566341024173e-06,False,True,False,False,False,False,False,False,True,False,False,926316.0,0.19,1760.0,0.0,0.8226846539720175,56739.0265346593,23815995.0,-7.0
Australia,2016,670.0,2200.0,24.0,62.0,49888.0410842736,24190907.0,0.0,0.0,0.0,2.5629464823290832e-06,False,True,False,False,False,True,False,False,False,False,False,913333.0,0.15,1370.0,0.0,0.8277380072145407,49888.0410842736,24190907.0,-6.0
