Year,Month,Date,Brent_Price_USD_Barrel
2020,10,2020-10-31,39.24777777777778
2020,11,2020-11-30,42.69238095238095
2020,12,2020-12-31,49.99363636363637
2021,1,2021-01-31,54.774
2021,2,2021-02-28,62.2765
2021,3,2021-03-31,65.41
2021,4,2021-04-30,64.8065
2021,5,2021-05-31,68.53421052631579
2021,6,2021-06-30,73.1640909090909
2021,7,2021-07-31,75.1659090909091
2021,8,2021-08-31,70.74714285714286
2021,9,2021-09-30,74.48863636363636
2021,10,2021-10-31,83.53809523809524
2021,11,2021-11-30,81.05
2021,12,2021-12-31,74.1704761904762
2022,1,2022-01-31,86.50523809523808
2022,2,2022-02-28,97.12899999999999
2022,3,2022-03-31,117.24521739130434
2022,4,2022-04-30,104.57526315789474
2022,5,2022-05-31,113.33761904761906
2022,6,2022-06-30,122.71095238095238
2022,7,2022-07-31,111.92571428571429
2022,8,2022-08-31,100.44636363636364
2022,9,2022-09-30,89.7647619047619
2022,10,2022-10-31,93.33190476190477
2022,11,2022-11-30,91.41545454545455
2022,12,2022-12-31,80.924
2023,1,2023-01-31,82.50142857142858
2023,2,2023-02-28,82.58500000000001
2023,3,2023-03-31,78.43434782608696
2023,4,2023-04-30,84.63833333333334
2023,5,2023-05-31,75.466
2023,6,2023-06-30,74.83909090909091
2023,7,2023-07-31,80.10809523809523
2023,8,2023-08-31,86.14772727272727
2023,9,2023-09-30,93.72238095238096
2023,10,2023-10-31,90.59590909090909
2023,11,2023-11-30,82.94
2023,12,2023-12-31,77.63105263157895
2024,1,2024-01-31,80.12409090909091
2024,2,2024-02-29,83.47809523809524
2024,3,2024-03-31,85.4085
2024,4,2024-04-30,89.93809523809524
2024,5,2024-05-31,81.74619047619048
2024,6,2024-06-30,82.24600000000001
2024,7,2024-07-31,85.15304347826087
2024,8,2024-08-31,80.3552380952381
2024,9,2024-09-30,74.01666666666667
2024,10,2024-10-31,75.63260869565217
2024,11,2024-11-30,74.3452380952381
2024,12,2024-12-31,73.8595
