country,code,year,month,date,gasoline_price_usd_liter
Algeria,DZA,2015,12,2015-12-01,0.19798595980698236
Algeria,DZA,2016,1,2016-01-01,0.2648095558552697
Algeria,DZA,2016,2,2016-02-01,0.2670087882962868
Algeria,DZA,2016,3,2016-03-01,0.26036780957000416
Algeria,DZA,2016,4,2016-04-01,0.2616777730255745
Algeria,DZA,2016,5,2016-05-01,0.2591763929934008
Algeria,DZA,2016,6,2016-06-01,0.2583259028694605
Algeria,DZA,2016,7,2016-07-01,0.2572488568475667
Algeria,DZA,2016,8,2016-08-01,0.2599103971467411
Algeria,DZA,2016,9,2016-09-01,0.26022372837947844
Algeria,DZA,2016,10,2016-10-01,0.25792612886877864
Algeria,DZA,2016,11,2016-11-01,0.2566225762922232
Algeria,DZA,2016,12,2016-12-01,0.2566156321764433
Algeria,DZA,2017,1,2017-01-03,0.2971383279356385
Algeria,DZA,2017,2,2017-02-03,0.29755755221821006
Algeria,DZA,2017,3,2017-03-03,0.2976523795345551
Algeria,DZA,2017,4,2017-04-03,0.29735725896460724
Algeria,DZA,2017,5,2017-05-03,0.3000549810136516
Algeria,DZA,2017,6,2017-06-03,0.3018380821970931
Algeria,DZA,2017,7,2017-07-03,0.30085387649621653
Algeria,DZA,2017,8,2017-08-03,0.2982481910321175
Algeria,DZA,2017,9,2017-09-03,0.2928930649122351
Algeria,DZA,2017,10,2017-10-03,0.28655455186952955
Algeria,DZA,2017,11,2017-11-03,0.2841736406129249
Algeria,DZA,2017,12,2017-12-03,0.28370160735315686
Algeria,DZA,2018,1,2018-01-03,0.3416786553914173
Algeria,DZA,2018,2,2018-02-03,0.342005672289199
Algeria,DZA,2018,3,2018-03-03,0.3416759578549943
Algeria,DZA,2018,4,2018-04-03,0.3406387742251452
Algeria,DZA,2018,5,2018-05-03,0.33573042269279074
Algeria,DZA,2018,6,2018-06-03,0.33289061872358033
Algeria,DZA,2018,7,2018-07-03,0.3312159323792274
Algeria,DZA,2018,8,2018-08-03,0.32898765557230764
Algeria,DZA,2018,9,2018-09-03,0.33005313897906385
Algeria,DZA,2018,10,2018-10-03,0.32800276212852325
Algeria,DZA,2018,11,2018-11-03,0.3285613903672043
