Country,year,GDP_per_capita,Population
Australia,2024,64407.484256932,27204809.0
Australia,2023,64835.9199754535,26652777.0
Australia,2022,64997.0136536475,26014399.0
Australia,2021,60607.7788605166,25685412.0
Australia,2020,51791.540179984,25649248.0
Australia,2019,54972.7017885437,25334826.0
Australia,2018,57196.4220783778,24963258.0
Australia,2017,53901.7145392154,24592588.0
Australia,2016,49888.0410842736,24190907.0
Australia,2015,56739.0265346593,23815995.0
Austria,2024,56833.1960472053,9178482.0
Austria,2023,56033.573792065,9131761.0
Austria,2022,52176.6649141178,9041851.0
Austria,2021,53648.7190742245,8955797.0
Austria,2020,48716.4098900349,8916864.0
Austria,2019,49885.9947355204,8879920.0
Austria,2018,51194.0749841299,8840521.0
Austria,2017,47163.7425775142,8797566.0
Austria,2016,45061.4993920192,8736668.0
Austria,2015,43915.228020857,8642699.0
Belgium,2024,55954.6106261018,11876844.0
Belgium,2023,54690.0942734964,11787423.0
Belgium,2022,50822.2518538518,11680210.0
Belgium,2021,51658.238294958,11586195.0
Belgium,2020,45906.2875805246,11538604.0
Belgium,2019,46716.6227467964,11488980.0
Belgium,2018,47487.2100392561,11427054.0
Belgium,2017,44035.3239358548,11375158.0
Belgium,2016,41854.5498296444,11331422.0
Belgium,2015,40893.804537772,11274196.0
Brazil,2024,10280.3148624429,211998573.0
Brazil,2023,10377.5892792557,211140729.0
Brazil,2022,9281.33334441234,210306415.0
Brazil,2021,7972.5366498646,209550294.0
Brazil,2020,7074.19378337644,208660842.0
Brazil,2019,9029.83326681073,207455459.0
Brazil,2018,9300.66164923219,206107261.0
Brazil,2017,10080.5092819305,204703445.0
Brazil,2016,8836.28652735657,203218114.0
Brazil,2015,8936.19661712113,201675532.0
Canada,2024,54282.6176051733,41288599.0
Canada,2023,54220.3285039875,40083484.0
Canada,2022,56256.8007264015,38935934.0
Canada,2021,52886.6616372703,38239864.0
Canada,2020,43537.839298904,38028638.0
Canada,2019,46352.8693445211,37618495.0
Canada,2018,46539.1761570405,37072620.0
Canada,2017,45129.628116623,36545075.0
Canada,2016,42314.0615817218,36110803.0
Canada,2015,43594.1941045394,35704498.0
Switzerland,2024,103669.872008144,9034102.0
Switzerland,2023,100631.802755125,8888093.0
Switzerland,2022,94394.5106803525,8777088.0
Switzerland,2021,93664.7736696111,8704546.0
Switzerland,2020,85897.7843338323,8638167.0
Switzerland,2019,84121.9310304414,8575280.0
Switzerland,2018,85217.3691512274,8514329.0
Switzerland,2017,82254.3770471336,8451840.0
Switzerland,2016,82153.0745447889,8373338.0
Switzerland,2015,83806.4476003837,8282396.0
Chile,2024,16709.8893972307,19764771.0
Chile,2023,17067.0364799154,19658835.0
Chile,2022,15405.6165774073,19553036.0
Chile,2021,16206.8325493421,19456334.0
Chile,2020,13114.815470545,19370624.0
Chile,2019,14495.716721687,19197744.0
Chile,2018,15659.4808675628,18893191.0
Chile,2017,14879.9086227187,18558868.0
Chile,2016,13649.8520452803,18267221.0
Chile,2015,13433.9202987032,18047625.0
China,2024,13303.1481543868,1408975000.0
China,2023,12951.1782397043,1410710000.0
China,2022,12970.6056414327,1412175000.0
China,2021,12887.4357242941,1412360000.0
China,2020,10627.4637989619,1411100000.0
China,2019,10342.9009524335,1407745000.0
China,2018,10085.6638148819,1402760000.0
China,2017,8979.67652709856,1396215000.0
China,2016,8254.86859320357,1387790000.0
China,2015,8175.33285077393,1379860000.0
Germany,2024,55800.2194549412,83510950.0
Germany,2023,53940.4073447462,83901923.0
Germany,2022,49686.1154582583,83797985.0
Germany,2021,52265.6541620571,83196078.0
Germany,2020,47379.765194548,83160871.0
Germany,2019,47623.8656074829,83092962.0
Germany,2018,48874.8595028454,82905782.0
Germany,2017,45526.5999576533,82657002.0
Germany,2016,42961.0356905775,82348669.0
Germany,2015,41911.0109851054,81686611.0
Denmark,2024,71851.7562131368,5976992.0
Denmark,2023,68453.8769281145,5946952.0
Denmark,2022,68091.3191138669,5903037.0
Denmark,2021,69727.9873677012,5856733.0
Denmark,2020,60985.4885601514,5831404.0
Denmark,2019,59404.2663247723,5814422.0
Denmark,2018,61324.7665045565,5793636.0
Denmark,2017,57521.5514992225,5764980.0
Denmark,2016,54500.9260410217,5728010.0
Denmark,2015,53094.0133607574,5683483.0
Spain,2024,35297.0094995565,48807137.0
Spain,2023,33509.0127982139,48347910.0
Spain,2022,30270.2687017458,47786102.0
Spain,2021,30799.4775937775,47443821.0
Spain,2020,27233.9426461608,47359424.0
Spain,2019,29786.5245689007,47118501.0
Spain,2018,30602.4212881113,46782011.0
Spain,2017,28381.3425596906,46571232.0
Spain,2016,26755.6061149398,46458139.0
Spain,2015,25982.4416197775,46422303.0
Finland,2024,53188.6186245158,5637214.0
Finland,2023,52821.5114340717,5583911.0
Finland,2022,50440.560224974,5556106.0
Finland,2021,53099.1351400148,5541017.0
Finland,2020,48828.6846862799,5529543.0
Finland,2019,48358.1807773701,5521606.0
Finland,2018,49654.2497035329,5515525.0
Finland,2017,46085.0174739036,5508214.0
Finland,2016,43451.2562442158,5495303.0
Finland,2015,42560.3456767103,5479531.0
France,2024,46150.4876861593,68516699.0
France,2023,44690.9345395117,68287487.0
France,2022,41082.8119320747,68065015.0
France,2021,43725.0999521245,67842811.0
France,2020,39169.8606000707,67601110.0
France,2019,40408.2848574751,67382061.0
France,2018,41418.1766484844,67158348.0
France,2017,38687.1626407164,66918020.0
France,2016,37024.2157133669,66724104.0
France,2015,36702.4323733379,66548272.0
United Kingdom,2024,52636.7865943853,69226000.0
United Kingdom,2023,49200.8101526146,68492000.0
United Kingdom,2022,46062.9914079698,67604000.0
United Kingdom,2021,46926.475736105,66984000.0
United Kingdom,2020,40404.8062238951,66744000.0
United Kingdom,2019,42794.0022648288,66631000.0
