Entity,Code,Year,Share of car stocks that are electric,Electric cars sold,Non-electric car sales,Share of new cars that are electric,Plug-in hybrid as a share of cars sold,Battery-electric as a share of cars sold,Battery-electric as a share of electric cars sold
Australia,AUS,2011,0.00039,,,0.0061,,,
Australia,AUS,2012,0.0024,250.0,861819.0,0.029,0.00928,0.01972,68.0
Australia,AUS,2013,0.0046,290.0,878498.0,0.033,0.01137931,0.02162069,65.51724
Australia,AUS,2014,0.014,1320.0,878680.0,0.15,0.10795455,0.04204545,28.030302
Australia,AUS,2015,0.027,1760.0,924556.0,0.19,0.10795455,0.08204545,43.18182
Australia,AUS,2016,0.037,1370.0,911963.0,0.15,0.07664234,0.07335766,48.90511
Australia,AUS,2017,0.052,2300.0,917700.0,0.25,0.11956522,0.13043478,52.173912
Australia,AUS,2018,0.077,3600.0,874449.0,0.41,0.205,0.205,50.0
Australia,AUS,2019,0.14,9200.0,757467.0,1.2,0.37826088,0.82173914,68.478264
Australia,AUS,2020,0.18,6900.0,620373.0,1.1,0.27101448,0.8289855,75.36232
Australia,AUS,2021,0.32,20400.0,708171.0,2.8,0.46666667,2.3333333,83.333336
Australia,AUS,2022,0.59,38900.0,739100.0,5.0,0.7583548,4.2416453,84.83291
Australia,AUS,2023,1.2,98000.0,718667.0,12.0,1.3469387,10.653061,88.77551
Australia,AUS,2024,1.9,112000.0,749538.0,13.0,2.4375,10.5625,81.25
Austria,AUT,2010,0.0079,,,,,,
Austria,AUT,2011,0.022,,,,,,
Austria,AUT,2012,0.033,,,,,,
Austria,AUT,2013,0.053,,,0.2,,,
Austria,AUT,2014,0.089,,,0.57,,,
Austria,AUT,2015,0.14,2800.0,308311.0,0.9,0.35357144,0.54642856,60.714287
Austria,AUT,2016,0.24,5000.0,328333.0,1.5,0.36,1.14,76.0
Austria,AUT,2017,0.38,7100.0,347900.0,2.0,0.47887325,1.5211267,76.056335
Austria,AUT,2018,0.53,9100.0,340900.0,2.6,0.6571429,1.9428571,74.72527
Austria,AUT,2019,0.75,11500.0,317071.0,3.5,0.6695652,2.8304348,80.86957
Austria,AUT,2020,1.2,23600.0,224821.0,9.5,3.059322,6.440678,67.79661
Austria,AUT,2021,2.1,48000.0,192000.0,20.0,6.25,13.75,68.75
Austria,AUT,2022,3.0,47000.0,166636.0,22.0,6.0851064,15.914893,72.34042
Austria,AUT,2023,4.1,65000.0,175741.0,27.0,7.0615387,19.938461,73.84615
Austria,AUT,2024,5.3,62000.0,196333.0,24.0,6.580645,17.419355,72.58064
Belgium,BEL,2010,0.0013,56.0,559944.0,0.01,0.00142857,0.00857143,85.71429
Belgium,BEL,2011,0.0065,296.0,568935.0,0.052,0.00281081,0.04918919,94.5946
Belgium,BEL,2012,0.022,910.0,478037.0,0.19,0.07098901,0.11901099,62.637363
Belgium,BEL,2013,0.033,560.0,508531.0,0.11,0.01178571,0.09821429,89.28571
Belgium,BEL,2014,0.067,1950.0,473660.0,0.41,0.13666667,0.27333334,66.666664
Belgium,BEL,2015,0.13,3900.0,509258.0,0.76,0.4871795,0.2728205,35.897434
Belgium,BEL,2016,0.28,9200.0,531976.0,1.7,1.3119565,0.3880435,22.826088
Belgium,BEL,2017,0.53,14700.0,550685.0,2.6,2.122449,0.477551,18.367348
Belgium,BEL,2018,0.75,13200.0,536800.0,2.4,1.7454545,0.6545454,27.272728
Belgium,BEL,2019,1.0,17700.0,535425.0,3.2,1.6090395,1.5909605,49.717514
Belgium,BEL,2020,1.8,47000.0,380273.0,11.0,7.489362,3.5106382,31.914894
Belgium,BEL,2021,2.9,71000.0,323444.0,18.0,12.169014,5.830986,32.394367
Belgium,BEL,2022,4.5,97000.0,276077.0,26.0,15.814433,10.185567,39.17526
Belgium,BEL,2023,7.8,193000.0,277732.0,41.0,21.243523,19.756477,48.186527
Belgium,BEL,2024,11.0,197000.0,261140.0,43.0,14.624366,28.375635,65.989845
Brazil,BRA,2010,,,,0.00035,,,
