region,country,policy_level,policy_type,key_policy_measures_and_targets,category,year,source,source_table,key_policy_measures_and_targets_______________________________________________category
Europe,Albania,National,Proposal,"Through the national Action Plan for Energy and Climate, the Albanian government aims to install 200 to 300 charging stations by 2025 throughout the country.",Multiple,2021,Government of Algeria,Table 1,
Africa,Algeria,National,Legislation,Ban on imports more than 3 years old.,"Multiple, Taxation",2021,Government of Angola,Table 1,
Africa,Angola,National,Legislation,50% reduction of both import duty and vehicle tax for EVs.,Multiple,2022,Government of Antigua and Barbuda,Table 1,
Central and South America,Antigua and Barbuda,National,Announced target,Transition the government fleet to all-electric by 2035.,Manufacturing,2021,Government of Argentina,Table 1,
Central and South America,Argentina,National,Proposal,2 500 jobs in battery manufacturing by 2030.,"Multiple, Manufacturing",2021,Government of Argentina,Table 1,
Central and South America,Argentina,National,Objective,"National Sustainable Transportation plan promotes electromobility and EV manufacturing, among other things.",Taxation,2022,Government of Argentina,Table 1,
Central and South America,Argentina,National,Proposal,Ban on sale of new ICE vehicles from 2041.,Manufacturing,2021,Government of Argentina,Table 1,
Central and South America,Argentina,National,Proposal,Bill on the Promotion of Domestic Production of Electric and Hybrid Vehicles.,Bus,2024,Government of the City of Buenos Aires,Table 1,
Central and South America,Argentina,Subnational,Announced target,"Buenos Aires: 50% ZEV buses by 2030, 100% by 2050.",LDV,2020,Government of the City of Buenos Aires,Table 1,
Central and South America,Argentina,Subnational,Announced target,"Buenos Aires: 30% low-emission cars in circulation by 2030, 100% by 2050.",LDV,2020,Accelerating to Zero Coalition,Table 1,
Central and South America,Argentina,National,Legislation,The Sustainable Mobility Programme (Programa de Movilidad Sustentable) promotes micromobility and low-emissions transport for individuals and businesses; supports CNG and electric mobility; and provides financial incentives for vehicle and infrastructure investments.,Unknown,2024,Unknown,Table 1,
Eurasia,Armenia,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,"Taxation, Multiple",2022,Government of Armenia,Table 1,
Eurasia,Armenia,National,Legislation,Armenia established a duty-free import quota of 8 000 EVs for 2025.,LDV,2024,Government of Armenia,Table 1,
Eurasia,Armenia,National,Announced target,"Between 200 000 and 400 000 EVs deployed, as well as 10% of ICEs replaced with hybrids by 2050.",M/HDV,2023,"CALSTART: Drive
to Zero MOU",Table 1,
Central and South America,Aruba,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.","LDV, M/HDV",2022,Zero Emissions Government Fleet Declaration,Table 1,
Asia Pacific,Australia,Multi-national,Objective,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero- emission M/HDV acquisitions, by no later than 2035. Australia also specifically aims for 75% of new government passenger vehicles to be low emission by 2025.",Manufacturing,2022,Government of Australia,Table 1,
Asia Pacific,Australia,National,Objective,"National Battery Strategy that aims to support the development of the battery manufacturing industry in Australia by 2035, making Australia a globally competitive producer of batteries and battery materials.",Multiple,2023,Government of Australia,Table 1,
Asia Pacific,Australia,National,Objective,"National Electric Vehicle Strategy which includes details of state-level targets and incentives, with aim to increase the supply of affordable and accessible EVs, establish the resources, systems and infrastructure to enable rapid EV uptake, and encourage increased EV demand",LDV,2023,Queensland Government,Table 1,
Asia Pacific,Australia,Subnational,Objective,"Queensland: 50% of new passenger vehicle sales to be zero-emissions by 2030, moving to 100% by 2036.",Multiple,2022,Victoria State Government,Table 1,
Asia Pacific,Australia,Subnational,Objective,Victoria: Fully decarbonised transport sector by 2045.,LDV,2022,Victoria State Government,Table 1,
