region,year,EV charging points,EV sales,EV sales share,EV stock,EV stock share,Electricity demand,Oil displacement Mbd,"Oil displacement, million lge",charging_stations_added,total_charging_stations,gasoline_price_usd_liter,GDP_per_capita,Population,policy_count,EV sales_lag1,EV sales_lag2,EV stock_lag1,EV stock_lag2,EV sales share_lag1,EV sales share_lag2,stations_per_capita,gdp_x_gas,infra_density,sales_growth,is_aggregate,mode_Buses,mode_Cars,mode_EV,mode_Trucks,mode_Vans,pt_BEV,pt_EV,pt_FCEV,pt_PHEV,pt_Publicly available fast,pt_Publicly available slow
Australia,2011,,49.0,,49.0,,,,,1.0,1.0,,,,0.0,,,,,,,,,,,0,False,True,False,False,False,True,False,False,False,False,False
Australia,2012,,170.0,,220.0,,,,,1.0,2.0,,,,0.0,49.0,,49.0,,,,,,,2.4693877551020407,0,False,True,False,False,False,True,False,False,False,False,False
Australia,2013,,190.0,,410.0,,,,,26.0,28.0,,,,0.0,170.0,49.0,220.0,49.0,,,,,,0.11764705882352944,0,False,True,False,False,False,True,False,False,False,False,False
Australia,2014,,370.0,,780.0,,,,,2.0,30.0,,,,0.0,190.0,170.0,410.0,220.0,,,,,,0.9473684210526316,0,False,True,False,False,False,True,False,False,False,False,False
Australia,2015,,760.0,,1500.0,,,,,8.0,38.0,,56739.0265346593,23815995.0,0.0,370.0,190.0,780.0,410.0,,,1.595566341024173e-06,,,1.054054054054054,0,False,True,False,False,False,True,False,False,False,False,False
Australia,2016,,670.0,,2200.0,,,,,24.0,62.0,,49888.0410842736,24190907.0,0.0,760.0,370.0,1500.0,780.0,,,2.5629464823290832e-06,,,-0.11842105263157898,0,False,True,False,False,False,True,False,False,False,False,False
Australia,2017,,1200.0,,3400.0,,,,,17.0,79.0,,53901.7145392154,24592588.0,0.0,670.0,760.0,2200.0,1500.0,,,3.212349997487048e-06,,,0.791044776119403,0,False,True,False,False,False,True,False,False,False,False,False
Australia,2018,,1800.0,,5200.0,,,,,43.0,122.0,,57196.4220783778,24963258.0,0.0,1200.0,670.0,3400.0,2200.0,,,4.887182594515507e-06,,,0.5,0,False,True,False,False,False,True,False,False,False,False,False
Australia,2019,,6300.0,,12000.0,,,,,43.0,165.0,,54972.7017885437,25334826.0,0.0,1800.0,1200.0,5200.0,3400.0,,,6.5127741552280646e-06,,,2.5,0,False,True,False,False,False,True,False,False,False,False,False
Australia,2020,,5200.0,,17000.0,,,,,157.0,322.0,,51791.540179984,25649248.0,0.0,6300.0,1800.0,12000.0,5200.0,,,1.255397429195585e-05,,,-0.17460317460317465,0,False,True,False,False,False,True,False,False,False,False,False
Australia,2021,,17000.0,,34000.0,,,,,213.0,535.0,,60607.7788605166,25685412.0,0.0,5200.0,6300.0,17000.0,12000.0,,,2.0828943682118083e-05,,,2.269230769230769,0,False,True,False,False,False,True,False,False,False,False,False
Australia,2022,,33000.0,,67000.0,,,,,204.0,739.0,,64997.0136536475,26014399.0,3.0,17000.0,5200.0,34000.0,17000.0,,,2.840734471705458e-05,,,0.9411764705882353,0,False,True,False,False,False,True,False,False,False,False,False
Australia,2023,,87000.0,,150000.0,,,,,306.0,1045.0,,64835.9199754535,26652777.0,2.0,33000.0,17000.0,67000.0,34000.0,,,3.9207921936239515e-05,,,1.6363636363636362,0,False,True,False,False,False,True,False,False,False,False,False
Australia,2011,,,0.00650000013411,,0.000390000001062,,,,1.0,1.0,,,,0.0,,,,,,,,,,,0,False,True,False,False,False,False,True,False,False,False,False
Australia,2012,,,0.029999999329448,,0.002400000113994,,,,1.0,2.0,,,,0.0,,,,,0.00650000013411,,,,,,0,False,True,False,False,False,False,True,False,False,False,False
