country,year,EV sales,EV stock,charging_stations_added,total_charging_stations,GDP_per_capita,Population,policy_count,news_sentiment,consumer_review_sentiment,stations_per_capita,mode_Buses,mode_Cars,mode_EV,mode_Trucks,mode_Vans,pt_BEV,pt_EV,pt_FCEV,pt_PHEV,pt_Publicly available fast,pt_Publicly available slow,Total_Sales,EV_Share_Pct,EV_Sales,Policy_Score,Gas_Price_USD,GDP_per_capita_Robust,Population_Robust,Years_Since_Threshold,log_gdp,infra_score,lagged_share,is_resilient,Survival_Prob,market_room,purchasing_power,infra_saturation,iso_alpha
Australia,2024,112000.0,0.0,0.0,0.0,64407.484256932,27204809.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,861538.0,13.0,112000.0,1.9117647058823528,1.157509332774162,64407.484256932,27204809.0,2.0,11.073000646535144,0.0,12.0,1,0.12043478260869564,0.87,6.4407484256932,0.0,AUS
Austria,2024,62000.0,0.0,0.0,0.0,56833.1960472053,9178482.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,258333.0,24.0,62000.0,0.0,1.157509332774162,56833.1960472053,9178482.0,4.0,10.947893466638611,0.0,27.0,0,0.14,0.76,5.6833196047205305,0.0,AUS
Belgium,2024,197000.0,0.0,0.0,0.0,55954.6106261018,11876844.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,458140.0,43.0,197000.0,4.264705882352941,1.157509332774162,55954.6106261018,11876844.0,4.0,10.932313987999335,0.0,41.0,1,0.08,0.57,5.5954610626101795,0.0,BEL
Brazil,2024,125000.0,0.0,0.0,0.0,10280.3148624429,211998573.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,1953125.0,6.4,125000.0,1.9117647058823528,1.102483220133844,10280.3148624429,211998573.0,0.0,9.238083435736918,0.0,3.0,1,0.4458376623376624,0.9359999999999999,1.0280314862442899,0.0,BRA
Canada,2024,252000.0,0.0,0.0,0.0,54282.6176051733,41288599.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,1482353.0,17.0,252000.0,10.0,1.195459510398517,54282.6176051733,41288599.0,3.0,10.901977758838768,0.0,13.0,1,0.13041666666666665,0.83,5.42826176051733,0.0,CAN
Chile,2024,5600.0,0.0,0.0,0.0,16709.8893972307,19764771.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,266667.0,2.1,5600.0,4.117647058823529,1.3559766607386494,16709.8893972307,19764771.0,0.0,9.723815845620694,0.0,0.75,1,0.3684848484848484,0.9790000000000001,1.6709889397230702,0.0,CHI
China,2024,11300000.0,0.0,0.0,0.0,13303.1481543868,1408975000.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,23541667.0,48.0,11300000.0,4.117647058823529,1.0111717166367005,13303.1481543868,1408975000.0,5.0,9.49583115688914,0.0,38.0,1,0.05,0.52,1.33031481543868,0.0,CHI
Denmark,2024,96100.0,0.0,0.0,0.0,71851.7562131368,5976992.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,171607.0,56.0,96100.0,4.117647058823529,1.157509332774162,71851.7562131368,5976992.0,4.0,11.182374251427465,0.0,46.0,1,0.05,0.44,7.185175621313681,0.0,DEN
Europe,2024,3180000.0,0.0,0.0,0.0,43451.2562442158,5495303.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,14454546.0,22.0,3180000.0,0.0,1.157509332774162,0.0,0.0,4.0,10.679418056715113,0.0,22.0,0,0.0,0.78,4.345125624421581,0.0,EUR
European Union (27),2024,2270000.0,0.0,0.0,0.0,48747.0136853042,25492037.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,10809524.0,21.0,2270000.0,0.0,1.157509332774162,0.0,0.0,4.0,10.79441973067906,0.0,22.0,0,0.34,0.79,4.8747013685304195,0.0,EUR
Finland,2024,37000.0,0.0,0.0,0.0,53188.6186245158,5637214.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,74000.0,50.0,37000.0,0.0,1.157509332774162,53188.6186245158,5637214.0,5.0,10.881618517650793,0.0,54.0,0,0.1,0.5,5.31886186245158,0.0,FIN
France,2024,450000.0,0.0,0.0,0.0,46150.4876861593,68516699.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,1875000.0,24.0,450000.0,0.0,1.157509332774162,46150.4876861593,68516699.0,4.0,10.739684475297874,0.0,25.0,0,0.34,0.76,4.61504876861593,0.0,FRA
Germany,2024,570000.0,0.0,0.0,0.0,55800.2194549412,83510950.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,3000000.0,19.0,570000.0,1.9117647058823528,1.157509332774162,55800.2194549412,83510950.0,4.0,10.92955100216181,0.0,24.0,0,0.2,0.81,5.58002194549412,0.0,GER
Greece,2024,17000.0,0.0,0.0,0.0,24752.1068401681,10388805.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,141667.0,12.0,17000.0,3.088235294117647,1.157509332774162,24752.1068401681,10388805.0,3.0,10.116706289014425,0.0,13.0,0,0.2519810924369748,0.88,2.47521068401681,0.0,GRE
Iceland,2024,4300.0,0.0,0.0,0.0,82703.8579937471,404610.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,10238.0,42.0,4300.0,0.0,1.157509332774162,82703.8579937471,404610.0,8.0,11.32303362165347,0.0,71.0,0,0.07,0.58,8.27038579937471,0.0,ICE
India,2024,92095.0,0.0,0.0,0.0,2696.66389984463,1450935791.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,4385476.0,2.1,92095.0,1.7647058823529411,1.157509332774162,2696.66389984463,1450935791.0,0.0,7.900141455191813,0.0,2.1,0,0.36796405228758167,0.9790000000000001,0.269666389984463,0.0,IND
Israel,2024,76400.0,0.0,0.0,0.0,54176.6844383302,9974400.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,363810.0,21.0,76400.0,0.0,1.157509332774162,54176.6844383302,9974400.0,3.0,10.900024376415152,0.0,17.0,1,0.14291943173150265,0.79,5.41766844383302,0.0,ISR
Italy,2024,118000.0,0.0,0.0,0.0,40226.0472416173,58986023.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,1493671.0,7.9,118000.0,0.0,1.157509332774162,40226.0472416173,58986023.0,3.0,10.602294865322913,0.0,9.2,0,0.0469996111152424,0.9209999999999999,4.02260472416173,0.0,ITA
Japan,2024,103000.0,0.0,0.0,0.0,32475.8924992191,123975371.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,3678571.0,2.8,103000.0,0.0,1.157509332774162,32475.8924992191,123975371.0,0.0,10.388284115413411,0.0,3.5,0,0.0023143342226534074,0.972,3.24758924992191,0.0,JAP
Mexico,2024,27100.0,0.0,0.0,0.0,14157.9445835849,130861007.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,1231818.0,2.2,27100.0,3.235294117647059,1.264223815228367,14157.9445835849,130861007.0,0.0,9.558101829412271,0.0,1.5,1,0.4261639928698752,0.978,1.41579445835849,0.0,MEX
Netherlands,2024,182000.0,0.0,0.0,0.0,68218.7261019406,17994237.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,379167.0,48.0,182000.0,0.0,1.157509332774162,68218.7261019406,17994237.0,11.0,11.130489041041397,0.0,44.0,1,0.09,0.52,6.82187261019406,0.0,NET
New Zealand,2024,9700.0,0.0,0.0,0.0,48747.0136853042,5338500.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,88182.0,11.0,9700.0,2.2058823529411766,0.8619163974987832,48747.0136853042,5338500.0,5.0,10.79441973067906,0.0,27.0,0,0.22,0.89,4.8747013685304195,0.0,NEW
Norway,2024,113500.0,0.0,0.0,0.0,86809.7246897431,5572272.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,123370.0,92.0,113500.0,4.705882352941177,1.157509332774162,86809.7246897431,5572272.0,11.0,11.371485449349432,0.0,90.0,1,0.0,0.08,8.68097246897431,0.0,NOR
Poland,2024,32000.0,0.0,0.0,0.0,25022.6716445953,36554707.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,561404.0,5.7,32000.0,2.2058823529411766,1.157509332774162,25022.6716445953,36554707.0,2.0,10.127577521639514,0.0,6.4,0,0.18665580618212196,0.943,2.50226716445953,0.0,POL
Portugal,2024,70000.0,0.0,0.0,0.0,28844.4979246799,10701636.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,212121.0,33.0,70000.0,0.0,1.157509332774162,28844.4979246799,10701636.0,5.0,10.269709208621387,0.0,32.0,1,0.04,0.67,2.88444979246799,0.0,POR
Rest of World,2024,259000.0,0.0,0.0,0.0,48747.0136853042,25492037.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,6815789.0,3.8,259000.0,0.0,1.157509332774162,0.0,0.0,0.0,10.79441973067906,0.0,2.7,1,0.342268115942029,0.9620000000000001,4.8747013685304195,0.0,RES
South Korea,2024,127900.0,0.0,0.0,0.0,33121.3712885508,51751065.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,1390217.0,9.2,127900.0,0.4411764705882353,1.157509332774162,33121.3712885508,51751065.0,3.0,10.407964202812796,0.0,8.7,1,0.0456819208225555,0.9079999999999999,3.31213712885508,0.0,SOU
Spain,2024,128000.0,0.0,0.0,0.0,35297.0094995565,48807137.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,1163636.0,11.0,128000.0,0.0,1.157509332774162,35297.0094995565,48807137.0,3.0,10.471581853216971,0.0,12.0,0,0.08051401822964278,0.89,3.52970094995565,0.0,SPA
Sweden,2024,157000.0,0.0,0.0,0.0,57723.2345031532,10569709.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,270690.0,58.0,157000.0,0.0,1.157509332774162,57723.2345031532,10569709.0,7.0,10.963432373037378,0.0,60.0,0,0.06,0.42,5.77232345031532,0.0,SWE
Switzerland,2024,67000.0,0.0,0.0,0.0,103669.872008144,9034102.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,239286.0,28.0,67000.0,0.0,1.157509332774162,103669.872008144,9034102.0,5.0,11.548976467665442,0.0,30.0,0,0.08,0.72,10.3669872008144,0.0,SWI
Turkey,2024,105700.0,0.0,0.0,0.0,48747.0136853042,25492037.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,960909.0,11.0,105700.0,0.0,1.157509332774162,0.0,0.0,1.0,10.79441973067906,0.0,7.2,1,0.18444327731092436,0.89,4.8747013685304195,0.0,TUR
UK,2024,550000.0,0.0,0.0,0.0,52636.7865943853,69226000.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,1964286.0,28.0,550000.0,0.0,1.157509332774162,52636.7865943853,69226000.0,4.0,10.871189517136155,0.0,24.0,1,0.25,0.72,5.26367865943853,0.0,UK
USA,2024,1520000.0,0.0,0.0,0.0,85809.9003846356,340110988.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,15200000.0,10.0,1520000.0,6.911764705882353,1.157509332774162,85809.9003846356,340110988.0,2.0,11.359901321516606,0.0,9.5,1,0.32,0.9,8.580990038463561,0.0,USA
World,2024,17500000.0,0.0,0.0,0.0,43451.2562442158,25492037.0,0.0,0.0,0.0,0.0,False,True,0,False,False,0,0,0,0,0,0,79545455.0,22.0,17500000.0,0.0,1.157509332774162,0.0,0.0,3.0,10.679418056715113,0.0,18.0,1,0.060503157115066514,0.78,4.345125624421581,0.0,WOR
