country,year,EV_Share_Pct,total_charging_stations,GDP_per_capita,Policy_Score,log_gdp,infra_score,lagged_share,Survival_Prob,EV_Share_Pct_2023,Policy_Score_2023,market_room,purchasing_power,infra_saturation,iso_alpha
Australia,2024,13.0,0.0,64407.484256932,1.9117647058823528,11.073000646535144,0.0,12.0,0.12043478260869564,12.0,1.9117647058823528,0.87,6.4407484256932,0.0,AUS
Austria,2024,24.0,0.0,56833.1960472053,0.0,10.947893466638611,0.0,27.0,0.14,27.0,0.0,0.76,5.6833196047205305,0.0,AUT
Belgium,2024,43.0,0.0,55954.6106261018,4.264705882352941,10.932313987999335,0.0,41.0,0.08,41.0,4.264705882352941,0.57,5.5954610626101795,0.0,BEL
Brazil,2024,6.4,0.0,10280.3148624429,1.9117647058823528,9.238083435736918,0.0,3.0,0.4458376623376624,3.0,1.3235294117647058,0.9359999999999999,1.0280314862442899,0.0,BRA
Canada,2024,17.0,0.0,54282.6176051733,10.0,10.901977758838768,0.0,13.0,0.13041666666666665,13.0,10.0,0.83,5.42826176051733,0.0,CAN
Chile,2024,2.1,0.0,16709.8893972307,4.117647058823529,9.723815845620694,0.0,0.75,0.3684848484848484,0.75,4.117647058823529,0.9790000000000001,1.6709889397230702,0.0,CHL
China,2024,48.0,0.0,13303.1481543868,4.117647058823529,9.49583115688914,0.0,38.0,0.05,38.0,3.6764705882352944,0.52,1.33031481543868,0.0,CHN
Denmark,2024,56.0,0.0,71851.7562131368,4.117647058823529,11.182374251427465,0.0,46.0,0.05,46.0,4.117647058823529,0.44,7.185175621313681,0.0,DNK
Europe,2024,22.0,0.0,43451.2562442158,0.0,10.679418056715113,0.0,22.0,0.0,22.0,0.0,0.78,4.345125624421581,0.0,EUR
European Union (27),2024,21.0,0.0,48747.0136853042,0.0,10.79441973067906,0.0,22.0,0.34,22.0,0.0,0.79,4.8747013685304195,0.0,EUR
Finland,2024,50.0,0.0,53188.6186245158,0.0,10.881618517650793,0.0,54.0,0.1,54.0,0.0,0.5,5.31886186245158,0.0,FIN
France,2024,24.0,0.0,46150.4876861593,0.0,10.739684475297874,0.0,25.0,0.34,25.0,0.0,0.76,4.61504876861593,0.0,FRA
Germany,2024,19.0,0.0,55800.2194549412,1.9117647058823528,10.92955100216181,0.0,24.0,0.2,24.0,1.9117647058823528,0.81,5.58002194549412,0.0,DEU
Greece,2024,12.0,0.0,24752.1068401681,3.088235294117647,10.116706289014425,0.0,13.0,0.2519810924369748,13.0,2.794117647058824,0.88,2.47521068401681,0.0,GRC
Iceland,2024,42.0,0.0,82703.8579937471,0.0,11.32303362165347,0.0,71.0,0.07,71.0,0.0,0.58,8.27038579937471,0.0,ISL
India,2024,2.1,0.0,2696.66389984463,1.7647058823529411,7.900141455191813,0.0,2.1,0.36796405228758167,2.1,1.3235294117647058,0.9790000000000001,0.269666389984463,0.0,IND
